word,bad_to_good,fast_to_slow
attractive,0.062360406,-0.04277286
ambitious,0.021266937,-0.09871027
clumsy,0.016487747,0.0043507814
steady,0.045135904,-0.035161078
reliable,0.010285392,0.06092125
spontaneous,0.06277543,-0.004551232
rushed,0.047715068,-0.11085504
efficient,0.0229114,-0.04641044
slow,-0.00073733926,-0.2346983
gradual,0.002408281,0.04727766
tired,0.028277457,-0.052523136
instant,-0.004835665,-0.05389768
delayed,0.002306074,-0.080179065
methodical,-0.007671751,0.029438257
prolonged,0.004183665,-0.026507944
reluctant,0.01710309,0.028069079
deliberate,0.05617304,-0.07521832
planned,-0.0021390915,0.023381174
calculated,-0.039124846,-0.06878275
